Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Age,CIBIL_Score,Loan_Status
Male,No,1,Not Graduate,No,47095,278502,180,1.0,Urban,28,852,0
Female,Yes,3+,Not Graduate,No,37451,254964,300,0.0,Rural,52,610,0
Female,Yes,0,Not Graduate,Yes,61627,82601,120,1.0,Urban,43,668,1
Male,Yes,1,Not Graduate,Yes,73034,103486,360,1.0,Rural,22,512,0
Male,No,3+,Graduate,No,40913,317883,240,1.0,Semiurban,49,834,0
Female,Yes,3+,Graduate,No,81348,306128,240,1.0,Urban,55,345,0
Male,Yes,1,Graduate,Yes,71110,299710,120,1.0,Semiurban,29,465,0
Female,Yes,2,Not Graduate,Yes,33330,120392,240,0.0,Urban,58,894,0
Male,No,0,Graduate,Yes,95091,279472,120,0.0,Rural,52,590,0
Male,No,0,Graduate,No,23508,77431,360,1.0,Urban,49,404,0
Female,Yes,1,Graduate,No,72298,114860,300,0.0,Semiurban,34,548,0
Female,Yes,3+,Not Graduate,Yes,55166,274400,240,1.0,Urban,25,453,0
Female,Yes,2,Not Graduate,Yes,72304,327630,360,1.0,Semiurban,37,615,0
Female,No,1,Not Graduate,Yes,81921,344918,360,1.0,Semiurban,52,441,0
Female,No,1,Not Graduate,No,74976,491877,120,1.0,Urban,43,539,0
Female,Yes,0,Graduate,Yes,72062,434366,120,1.0,Rural,46,844,0
Female,Yes,1,Graduate,Yes,87270,220899,180,1.0,Urban,51,349,0
Male,No,0,Graduate,Yes,76150,402275,120,1.0,Urban,34,758,0
Female,No,0,Not Graduate,Yes,85099,93040,240,1.0,Semiurban,22,346,0
Male,Yes,2,Not Graduate,No,52227,435758,240,1.0,Urban,55,574,0
Female,Yes,0,Graduate,Yes,36225,223989,240,1.0,Semiurban,44,700,0
Male,No,0,Graduate,Yes,38795,392030,120,1.0,Rural,43,873,0
Male,No,2,Graduate,No,68968,486784,360,0.0,Urban,43,450,0
Female,No,1,Not Graduate,Yes,62542,366457,360,1.0,Semiurban,54,331,0
Female,Yes,1,Graduate,Yes,26172,464109,240,1.0,Urban,51,750,0
Female,Yes,0,Not Graduate,No,36349,54561,120,1.0,Urban,47,836,1
Male,No,0,Graduate,No,97404,126749,180,1.0,Urban,51,639,0
Female,No,1,Not Graduate,Yes,78098,331746,300,1.0,Urban,32,336,0
Female,No,2,Not Graduate,Yes,80398,293264,300,0.0,Semiurban,48,600,0
Male,Yes,1,Graduate,No,35757,104216,180,1.0,Rural,59,534,0
Male,No,2,Not Graduate,Yes,25137,373265,360,1.0,Rural,30,570,0
Male,Yes,2,Not Graduate,No,43301,76400,360,1.0,Urban,43,332,0
Male,Yes,1,Not Graduate,No,88550,495845,240,1.0,Rural,47,490,0
Female,No,1,Not Graduate,Yes,60523,120385,180,1.0,Semiurban,41,899,1
Female,No,1,Graduate,No,82769,250461,240,1.0,Semiurban,58,327,0
Male,No,0,Graduate,Yes,58936,420481,120,0.0,Rural,36,848,0
Female,No,2,Not Graduate,No,59214,281318,240,1.0,Semiurban,29,610,0
Female,Yes,2,Graduate,Yes,68067,384732,120,1.0,Urban,26,650,0
Male,No,1,Graduate,Yes,96714,366641,120,1.0,Semiurban,54,860,1
Female,Yes,1,Graduate,No,54995,476947,240,0.0,Rural,47,430,0
Male,Yes,1,Graduate,No,67660,258777,240,1.0,Rural,43,890,1
Female,No,2,Graduate,Yes,93557,490539,360,1.0,Urban,37,466,0
Female,No,3+,Graduate,No,49784,282543,240,0.0,Rural,36,509,0
Male,No,0,Not Graduate,Yes,87194,451977,360,1.0,Urban,57,569,0
Male,Yes,1,Not Graduate,Yes,62804,379688,360,0.0,Rural,47,660,0
Female,No,0,Graduate,Yes,90329,109816,180,1.0,Urban,58,493,0
Male,Yes,1,Graduate,Yes,57425,339634,360,1.0,Urban,52,775,0
Female,No,0,Not Graduate,No,70361,445272,240,0.0,Rural,50,312,0
Female,No,1,Graduate,No,45862,107768,240,1.0,Semiurban,42,699,1
Female,No,1,Graduate,No,70800,427386,120,1.0,Urban,30,693,0
Female,Yes,1,Graduate,Yes,46099,97447,180,1.0,Urban,46,620,0
Male,Yes,1,Graduate,No,68735,441988,240,1.0,Urban,48,668,0
Male,Yes,3+,Graduate,Yes,83101,405008,180,0.0,Urban,41,748,0
Male,No,3+,Graduate,No,54790,118258,240,1.0,Rural,21,842,1
Male,No,0,Not Graduate,No,54338,376908,120,0.0,Urban,58,431,0
Male,Yes,1,Not Graduate,No,45768,102556,180,1.0,Urban,53,586,0
Female,No,3+,Graduate,No,78437,305614,300,1.0,Rural,34,637,0
Male,No,2,Not Graduate,Yes,67360,465713,300,1.0,Rural,40,506,0
Female,Yes,0,Not Graduate,No,61315,142683,360,1.0,Urban,25,884,1
Female,Yes,2,Graduate,No,22042,128221,360,0.0,Semiurban,57,606,0
Female,No,0,Graduate,Yes,28808,240296,360,1.0,Semiurban,29,655,0
Female,No,0,Not Graduate,No,20596,215879,120,1.0,Semiurban,35,416,0
Male,Yes,2,Graduate,Yes,88019,71812,300,1.0,Urban,37,549,0
Female,No,2,Graduate,Yes,88131,255193,180,1.0,Rural,31,675,1
Male,No,3+,Graduate,No,25434,166797,180,0.0,Rural,45,557,0
Male,No,1,Graduate,No,23713,105999,180,1.0,Rural,59,762,1
Female,No,3+,Graduate,Yes,82514,174215,240,1.0,Rural,54,382,0
Male,No,1,Graduate,No,61983,59285,120,1.0,Urban,41,392,0
Male,Yes,2,Graduate,No,44714,461768,240,1.0,Semiurban,26,503,0
Male,Yes,0,Not Graduate,Yes,69199,497340,120,0.0,Rural,54,491,0
Female,Yes,0,Graduate,Yes,38917,215430,240,1.0,Semiurban,31,789,0
Male,No,3+,Not Graduate,Yes,35853,444495,300,1.0,Rural,56,820,0
Male,Yes,3+,Not Graduate,No,49398,257605,120,1.0,Semiurban,36,583,0
Male,Yes,3+,Not Graduate,Yes,91658,460552,120,1.0,Rural,41,603,0
Female,No,1,Not Graduate,No,81372,127909,360,0.0,Rural,38,476,0
Male,Yes,0,Graduate,No,35207,178053,300,1.0,Semiurban,38,619,0
Male,Yes,3+,Graduate,No,64937,382921,180,1.0,Rural,27,723,0
Male,Yes,2,Graduate,Yes,90761,149045,360,1.0,Semiurban,42,733,1
Female,Yes,0,Not Graduate,Yes,96129,420592,180,0.0,Urban,36,881,0
Female,Yes,3+,Not Graduate,No,81039,241639,360,0.0,Semiurban,54,646,0
Female,No,3+,Not Graduate,No,30308,231753,120,1.0,Rural,39,504,0
Male,Yes,1,Graduate,Yes,39259,253993,300,1.0,Urban,58,341,0
Male,Yes,3+,Graduate,No,37488,409039,120,1.0,Urban,32,712,0
Female,No,3+,Not Graduate,No,32059,52519,120,1.0,Semiurban,33,782,1
Female,Yes,2,Not Graduate,No,34026,387810,240,1.0,Semiurban,22,631,0
Female,No,2,Not Graduate,Yes,45298,400663,120,0.0,Semiurban,49,853,0
Male,No,1,Graduate,No,64440,419517,240,0.0,Semiurban,23,490,0
Male,No,3+,Graduate,No,51836,498500,180,1.0,Semiurban,32,331,0
Female,Yes,3+,Graduate,No,53665,402016,120,1.0,Urban,56,679,0
Female,Yes,3+,Not Graduate,Yes,39662,287910,360,1.0,Urban,44,372,0
Male,No,2,Graduate,No,32083,259752,360,1.0,Rural,42,350,0
Female,Yes,0,Not Graduate,Yes,99911,224716,360,1.0,Semiurban,52,721,1
Female,No,1,Graduate,No,67919,422218,120,1.0,Rural,51,560,0
Male,Yes,1,Graduate,Yes,38372,226738,180,0.0,Semiurban,55,662,0
Female,Yes,3+,Graduate,Yes,84799,307688,180,1.0,Urban,46,748,1
Male,No,2,Not Graduate,Yes,86450,93234,180,0.0,Semiurban,38,529,0
Male,No,2,Not Graduate,Yes,97342,192795,240,1.0,Rural,26,666,1
Female,No,0,Not Graduate,Yes,32729,169772,240,1.0,Rural,35,623,0
Female,No,3+,Not Graduate,Yes,71197,245759,240,1.0,Urban,48,648,0
Male,Yes,1,Graduate,No,98419,275959,180,0.0,Rural,30,722,0
Female,No,0,Graduate,Yes,84533,372423,360,1.0,Semiurban,47,528,0
Male,No,3+,Not Graduate,No,38041,244331,360,1.0,Urban,26,602,0
Female,Yes,0,Graduate,Yes,91442,117650,180,1.0,Semiurban,23,654,1
Male,Yes,0,Graduate,No,53735,295265,180,1.0,Urban,35,384,0
Female,No,0,Not Graduate,Yes,59113,74609,240,1.0,Urban,29,426,0
Female,Yes,1,Not Graduate,No,64685,432079,180,1.0,Rural,55,353,0
Female,No,0,Graduate,Yes,81711,396754,360,1.0,Rural,35,418,0
Female,Yes,3+,Not Graduate,Yes,29622,151359,240,0.0,Semiurban,37,563,0
Male,Yes,2,Not Graduate,No,63140,168457,120,1.0,Rural,36,862,1
Female,Yes,1,Not Graduate,No,85345,62448,120,1.0,Rural,33,853,1
Male,Yes,0,Not Graduate,Yes,63880,213984,120,1.0,Semiurban,56,757,1
Female,No,1,Graduate,No,41974,67201,180,1.0,Urban,49,634,0
Female,No,0,Graduate,Yes,24502,471356,180,0.0,Semiurban,27,421,0
Male,No,3+,Not Graduate,Yes,63941,110375,360,1.0,Urban,29,514,0
Female,No,1,Graduate,Yes,76268,346718,360,1.0,Rural,24,759,1
Female,Yes,1,Graduate,No,63970,306717,120,0.0,Semiurban,30,845,0
Male,No,0,Not Graduate,Yes,98348,156586,360,1.0,Rural,46,877,1
Male,No,0,Graduate,Yes,68211,413683,240,1.0,Rural,57,533,0
Male,No,0,Not Graduate,Yes,60658,98993,180,1.0,Semiurban,39,591,0
Male,No,0,Graduate,No,24438,449062,240,1.0,Rural,24,605,0
Male,No,2,Graduate,Yes,64687,383154,240,1.0,Rural,22,333,0
Female,No,3+,Not Graduate,No,33489,335800,120,1.0,Rural,37,369,0
Female,No,3+,Not Graduate,No,77978,445846,360,1.0,Urban,31,327,0
Male,No,1,Graduate,No,32895,231414,120,1.0,Semiurban,43,742,0
Female,No,3+,Graduate,No,92535,176736,120,0.0,Rural,25,434,0
Female,Yes,2,Graduate,Yes,44164,119531,180,1.0,Rural,29,720,1
Male,Yes,0,Graduate,Yes,54718,465966,120,1.0,Semiurban,42,525,0
Female,No,0,Not Graduate,No,31593,230638,120,1.0,Urban,31,776,0
Female,Yes,2,Graduate,Yes,36855,423226,180,1.0,Urban,35,369,0
Female,Yes,1,Graduate,Yes,93753,199586,180,1.0,Semiurban,29,495,0
Female,No,0,Graduate,Yes,42694,479749,120,1.0,Semiurban,23,422,0
Female,No,3+,Graduate,No,61036,441511,360,0.0,Rural,34,561,0
Male,No,2,Not Graduate,No,98511,188617,360,0.0,Urban,33,637,0
Female,Yes,2,Graduate,Yes,69886,269023,300,0.0,Semiurban,56,401,0
Female,Yes,3+,Not Graduate,No,23331,407295,240,1.0,Urban,55,700,0
Male,No,3+,Graduate,No,48599,151788,360,1.0,Rural,37,878,1
Female,No,3+,Graduate,No,50948,60658,180,1.0,Urban,32,325,0
Male,Yes,1,Not Graduate,No,42099,179960,240,1.0,Urban,37,351,0
Male,No,3+,Graduate,No,39294,315764,120,1.0,Urban,44,871,0
Male,Yes,2,Graduate,Yes,60254,111411,300,1.0,Urban,36,689,1
Female,No,2,Graduate,No,50163,200026,120,1.0,Semiurban,50,851,1
Male,No,3+,Graduate,Yes,43545,463363,300,1.0,Semiurban,58,723,0
Male,No,0,Not Graduate,Yes,53038,83784,300,1.0,Semiurban,36,730,1
